classifier;model;preprocessing;accuracy
AdaBoost;AdaBoostClassifier(learning_rate=0.23049591125424454, n_estimators=377,                random_state=0);(PCA(n_components=2, whiten=True),);0.75
DecisionTree;DecisionTreeClassifier(max_features=0.2795603242975888, random_state=3,                    splitter='random');(StandardScaler(with_std=False),);0.711
KNN;KNeighborsClassifier(algorithm='ball_tree', leaf_size=29, metric='manhattan',                  n_jobs=1, n_neighbors=12, p=1.9041121540852173);(PCA(n_components=2, whiten=True),);0.781
LDA;LinearDiscriminantAnalysis(tol=0.0009398723184107899);(MinMaxScaler(clip=True, feature_range=(-1.0, 1.0)),);0.57
RandomForest;RandomForestClassifier(bootstrap=False, class_weight='balanced',                    criterion='entropy', max_features='log2',                    max_leaf_nodes=10, n_estimators=1519, n_jobs=1,                    random_state=2, verbose=False);(StandardScaler(with_std=False),);0.788
QDA;QuadraticDiscriminantAnalysis(reg_param=0.012695001611902651,                           tol=8.138239358673155e-05);(Normalizer(norm='l1'),);0.602
SVM;SVC(C=2.1662050862711246, coef0=0.5180528058128524, degree=5, gamma='auto', random_state=1, shrinking=False, tol=0.009936152365326835);(PCA(n_components=2),);0.788
