subject,mean_accuracy_AdaBoost,mean_accuracy_DecisionTree,mean_accuracy_KNN,mean_accuracy_LDA,mean_accuracy_QDA,mean_accuracy_RandomForest,mean_accuracy_SVM,std_accuracy_AdaBoost,std_accuracy_DecisionTree,std_accuracy_KNN,std_accuracy_LDA,std_accuracy_QDA,std_accuracy_RandomForest,std_accuracy_SVM
1,0.7872413793103449,0.77,0.7836781609195402,0.8073563218390805,0.7977011494252874,0.7770114942528735,0.7839080459770116,0.0452250285844435,0.0508416414592959,0.0435260509265596,0.0524374820434254,0.0585304692251678,0.0375529748691365,0.0333016099539522
2,0.824712643678161,0.8413793103448276,0.8111494252873562,0.824712643678161,0.8144827586206898,0.8079310344827586,0.8111494252873565,0.0780818565640023,0.0576938219462444,0.0556018963815628,0.0566382153284559,0.0555523317865028,0.0675104157101449,0.0572940947310944
3,0.8706896551724137,0.850344827586207,0.9220689655172414,0.8306896551724139,0.79,0.7662068965517241,0.9289655172413792,0.0950822077920198,0.1131011120214744,0.0554156515601734,0.0855454316408548,0.0989655172413793,0.0783166130189009,0.0470248414293405
4,0.935632183908046,0.9087356321839082,0.9424137931034484,0.8580459770114943,0.8682758620689656,0.9355172413793102,0.9255172413793102,0.0488363738655912,0.0574993035049466,0.0457507362983994,0.0522862180019257,0.0439681841276645,0.0493997528266768,0.0336245699696134
5,0.864367816091954,0.8442528735632184,0.8679310344827587,0.7798850574712645,0.8541379310344828,0.861264367816092,0.857816091954023,0.065347632851561,0.0493215966585437,0.0622675622325243,0.0613931922826979,0.0655221817052478,0.0579521262461638,0.0608089431991307
6,0.9016091954022988,0.9048275862068966,0.8810344827586206,0.8611494252873564,0.8611494252873564,0.8981609195402299,0.9017241379310346,0.0541943966947574,0.0614201938833904,0.0678905688838611,0.0690015231679558,0.0690015231679558,0.0491147690251971,0.0469811328763679
7,0.5579310344827586,0.5302298850574713,0.5480459770114943,0.5313793103448275,0.4602298850574712,0.5642528735632184,0.6016091954022988,0.0805355964540414,0.0611642234276454,0.0644474056385471,0.0887294530634,0.0939864471048754,0.0774604344556897,0.0417106783014908
