subject,mean_accuracy_AdaBoost,mean_accuracy_DecisionTree,mean_accuracy_KNN,mean_accuracy_LDA,mean_accuracy_QDA,mean_accuracy_RandomForest,mean_accuracy_SVM,std_accuracy_AdaBoost,std_accuracy_DecisionTree,std_accuracy_KNN,std_accuracy_LDA,std_accuracy_QDA,std_accuracy_RandomForest,std_accuracy_SVM
1,0.8010769230769231,0.8247692307692308,0.852769230769231,0.8367692307692309,0.8247692307692308,0.8164615384615385,0.8646153846153848,0.0455865131098529,0.0259307224516384,0.0500132526815341,0.0370667078171553,0.0362270943751207,0.0518169285353757,0.0260359332939153
2,0.8087692307692308,0.8166153846153847,0.8283076923076923,0.8361538461538462,0.8361538461538462,0.7844615384615384,0.8244615384615385,0.0347709325655681,0.0545614034420132,0.0480985182268778,0.0581581195011094,0.0581581195011094,0.0703884404172922,0.0575986932790633
3,0.9841538461538464,0.9604615384615386,0.9724615384615384,0.8923076923076924,0.9001538461538463,0.9803076923076922,0.9843076923076924,0.0194120684721351,0.0429891963860358,0.0348280645864831,0.0622421307494906,0.0515623366054431,0.0261520361364624,0.0313921559568835
4,0.9524615384615384,0.9443076923076924,0.976153846153846,0.892923076923077,0.9483076923076922,0.964153846153846,0.968,0.0459505780301159,0.0364703007971785,0.0264440908489666,0.0699998309380883,0.0473246373654901,0.0279818199644109,0.0391918358845308
5,0.8686153846153847,0.8804615384615385,0.8486153846153848,0.8727692307692309,0.8926153846153845,0.8726153846153846,0.8886153846153846,0.0398113896462071,0.040023957322625,0.0465785586957938,0.0550504878544936,0.0532485519429746,0.0426617354152295,0.0525388557255175
6,0.9441538461538462,0.9483076923076924,0.9521538461538462,0.9004615384615384,0.9004615384615384,0.948153846153846,0.9483076923076924,0.0320801511011802,0.0309777549505309,0.0466762740181027,0.0512196800195176,0.0571266629631188,0.031303439514593,0.0357717947798981
7,0.5736923076923077,0.602,0.6213846153846154,,0.6253846153846153,0.6215384615384615,0.6333846153846153,0.056578792522584,0.0635295206970743,0.0680634928082186,,0.0986182646885328,0.1013891676344641,0.0945272885680302
