subject,mean_accuracy_AdaBoost,mean_accuracy_DecisionTree,mean_accuracy_KNN,mean_accuracy_LDA,mean_accuracy_QDA,mean_accuracy_RandomForest,mean_accuracy_SVM,std_accuracy_AdaBoost,std_accuracy_DecisionTree,std_accuracy_KNN,std_accuracy_LDA,std_accuracy_QDA,std_accuracy_RandomForest,std_accuracy_SVM
1,0.793448275862069,0.7533333333333333,0.7672413793103449,0.7909195402298852,0.7874712643678161,0.7667816091954024,0.8042528735632185,0.043356498579618,0.056394979485681,0.0490503016445929,0.0499952435311916,0.0486750056652225,0.0442892819327741,0.0768948335804479
2,0.8379310344827585,0.8073563218390805,0.8378160919540228,0.8613793103448277,0.8614942528735632,0.8075862068965517,0.8679310344827587,0.0665972686752688,0.0625105619296024,0.0499926008529754,0.0493080673589216,0.0535593950586519,0.0448959102072335,0.0498152220537322
3,0.7795402298850574,0.8779310344827588,0.8882758620689657,0.6889655172413793,0.675287356321839,0.9217241379310344,0.8882758620689657,0.0858118149877487,0.060339463363112,0.0462114711522899,0.0782440396434631,0.0781562709909072,0.0515589956301236,0.0552771993442184
4,0.945632183908046,0.9052873563218392,0.9458620689655172,0.8510344827586207,0.8443678160919541,0.938735632183908,0.9322988505747126,0.0382261248764215,0.0569544579358689,0.0460615601912908,0.0801557474540292,0.0741984071259556,0.0405734101578578,0.0307369732941019
5,0.8408045977011493,0.8339080459770116,0.8445977011494253,0.7559770114942529,0.8443678160919539,0.8375862068965517,0.850919540229885,0.0614921043775499,0.0623286394403943,0.0502044965954119,0.0668112779566525,0.0645015032070807,0.0786311917432831,0.072068232227841
6,0.8072413793103449,0.833793103448276,0.8206896551724139,0.8306896551724139,0.8071264367816091,0.8914942528735631,0.887816091954023,0.1031080612507433,0.0597152710361987,0.0695397549143084,0.0847213769886515,0.0890174786627023,0.0405641287358395,0.0657933283529092
7,0.6082758620689654,0.5947126436781609,0.526896551724138,0.5916091954022988,0.514022988505747,0.6082758620689654,0.5814942528735633,0.0654966694865681,0.04101757596265,0.0553187713935323,0.0475257820594742,0.0752655052961742,0.0654966694865681,0.0489051757062592
