subject,mean_accuracy_AdaBoost,mean_accuracy_DecisionTree,mean_accuracy_KNN,mean_accuracy_LDA,mean_accuracy_QDA,mean_accuracy_RandomForest,mean_accuracy_SVM,std_accuracy_AdaBoost,std_accuracy_DecisionTree,std_accuracy_KNN,std_accuracy_LDA,std_accuracy_QDA,std_accuracy_RandomForest,std_accuracy_SVM
1,0.8287692307692309,0.7729230769230769,0.8124615384615386,0.8167692307692308,0.8127692307692309,0.8326153846153848,0.8206153846153846,0.0306308426379369,0.0565819299149419,0.0805027104545712,0.0363965665849348,0.0310300484260892,0.0393605695826397,0.0413282429899826
2,0.8524615384615386,0.8161538461538461,0.8681538461538463,0.8323076923076924,0.8641538461538462,0.8441538461538463,0.8324615384615385,0.0363835582868067,0.0677386205207869,0.0405526905403226,0.0714912995906478,0.0573912143040199,0.0553164109956872,0.0643601184901877
3,0.9604615384615386,0.9763076923076924,0.9920000000000002,0.7289230769230769,0.7170769230769231,0.9763076923076924,0.972153846153846,0.0390905488055253,0.0258919009063525,0.016,0.0779919583170609,0.0726846149775719,0.0314704708027124,0.0255444849245227
4,0.96,0.972,0.984,0.8813846153846153,0.9683076923076924,0.976,0.98,0.0309838667696593,0.0312409987036266,0.0265329983228431,0.0979420188338714,0.0294501886151422,0.0265329983228432,0.0322490309931941
5,0.8649230769230769,0.8166153846153847,0.8523076923076923,0.8567692307692308,0.8846153846153847,0.8687692307692307,0.8726153846153846,0.0583066774825427,0.0411940134675189,0.0649515067173354,0.0471505206507111,0.0515097509008714,0.0497665556289723,0.038730139021685
6,0.932153846153846,0.9006153846153847,0.9041538461538462,0.8724615384615385,0.8804615384615385,0.9084615384615384,0.9084615384615384,0.0257842665663939,0.0359104738227932,0.044737498667027,0.0531535678496554,0.0565854854159908,0.0356661044398902,0.0535917065031256
7,0.6375384615384616,0.6376923076923077,0.6655384615384616,0.6101538461538462,0.6058461538461539,0.6815384615384615,0.6618461538461538,0.1105193763300295,0.1155532101618047,0.0772552826557825,0.0974374628754137,0.07499680466566,0.0805924805983416,0.105421778960943
