classifier,precision_0,f1_0,precision_1,f1_1,accuracy
AdaBoost,0.512,0.639,0.568,0.294,0.522
DecisionTree,0.557,0.57,0.567,0.553,0.562
KNN,0.516,0.625,0.559,0.357,0.526
LDA,0.434,0.328,0.474,0.551,0.462
RandomForest,0.621,0.657,0.658,0.616,0.637
QDA,0.66,0.587,0.609,0.664,0.629
SVM,0.627,0.629,0.632,0.629,0.629
