classifier,precision_0,f1_0,precision_1,f1_1,accuracy
AdaBoost,0.918,0.86,0.83,0.876,0.869
DecisionTree,1.0,0.821,0.768,0.869,0.849
KNN,0.894,0.849,0.826,0.864,0.857
LDA,0.96,0.858,0.813,0.884,0.873
RandomForest,0.912,0.87,0.847,0.882,0.876
QDA,0.936,0.877,0.844,0.891,0.884
SVM,0.96,0.858,0.813,0.884,0.873
