classifier,precision_0,f1_0,precision_1,f1_1,accuracy
AdaBoost,0.948,0.913,0.889,0.92,0.916
DecisionTree,0.945,0.957,0.967,0.956,0.956
KNN,0.976,0.968,0.961,0.969,0.968
LDA,0.822,0.903,1.0,0.88,0.892
RandomForest,0.96,0.964,0.968,0.964,0.964
QDA,0.938,0.949,0.959,0.948,0.948
SVM,0.953,0.969,0.984,0.968,0.968
