classifier,precision_0,f1_0,precision_1,f1_1,accuracy
AdaBoost,0.84,0.82,0.811,0.829,0.825
DecisionTree,0.835,0.821,0.815,0.828,0.825
KNN,0.797,0.822,0.839,0.811,0.817
LDA,0.856,0.831,0.82,0.842,0.837
RandomForest,0.839,0.815,0.805,0.826,0.821
QDA,0.853,0.822,0.807,0.835,0.829
SVM,0.907,0.836,0.806,0.859,0.849
