classifier,precision_0,f1_0,precision_1,f1_1,accuracy
AdaBoost,0.955,0.898,0.864,0.91,0.904
DecisionTree,0.929,0.937,0.944,0.936,0.936
KNN,0.975,0.951,0.932,0.953,0.952
LDA,0.91,0.899,0.891,0.902,0.9
RandomForest,0.967,0.955,0.946,0.957,0.956
QDA,0.897,0.9,0.904,0.9,0.9
SVM,0.974,0.938,0.911,0.943,0.94
