classifier,precision_0,f1_0,precision_1,f1_1,accuracy
AdaBoost,0.969,0.976,0.984,0.976,0.976
DecisionTree,0.976,0.98,0.984,0.98,0.98
KNN,0.976,0.98,0.984,0.98,0.98
LDA,0.863,0.859,0.858,0.862,0.861
RandomForest,0.976,0.984,0.992,0.984,0.984
QDA,0.85,0.857,0.863,0.856,0.857
SVM,0.977,0.988,1.0,0.988,0.988
