classifier,precision_0,f1_0,precision_1,f1_1,accuracy
AdaBoost,0.832,0.832,0.833,0.833,0.833
DecisionTree,0.838,0.855,0.868,0.85,0.853
KNN,0.831,0.807,0.797,0.819,0.813
LDA,0.862,0.83,0.815,0.843,0.837
RandomForest,0.846,0.839,0.836,0.843,0.841
QDA,0.862,0.83,0.815,0.843,0.837
