subject,precision_0_AdaBoost,precision_0_DecisionTree,precision_0_KNN,precision_0_LDA,precision_0_QDA,precision_0_RandomForest,precision_0_SVM,f1_0_AdaBoost,f1_0_DecisionTree,f1_0_KNN,f1_0_LDA,f1_0_QDA,f1_0_RandomForest,f1_0_SVM,precision_1_AdaBoost,precision_1_DecisionTree,precision_1_KNN,precision_1_LDA,precision_1_QDA,precision_1_RandomForest,precision_1_SVM,f1_1_AdaBoost,f1_1_DecisionTree,f1_1_KNN,f1_1_LDA,f1_1_QDA,f1_1_RandomForest,f1_1_SVM,accuracy_AdaBoost,accuracy_DecisionTree,accuracy_KNN,accuracy_LDA,accuracy_QDA,accuracy_RandomForest,accuracy_SVM
1,0.84,0.835,0.797,0.856,0.853,0.839,0.907,0.82,0.821,0.822,0.831,0.822,0.815,0.836,0.811,0.815,0.839,0.82,0.807,0.805,0.806,0.829,0.828,0.811,0.842,0.835,0.826,0.859,0.825,0.825,0.817,0.837,0.829,0.821,0.849
2,0.832,0.838,0.831,0.862,0.862,0.846,0.86,0.832,0.855,0.807,0.83,0.83,0.839,0.82,0.833,0.868,0.797,0.815,0.815,0.836,0.803,0.833,0.85,0.819,0.843,0.843,0.843,0.837,0.833,0.853,0.813,0.837,0.837,0.841,0.829
3,0.969,0.976,0.976,0.863,0.85,0.976,0.977,0.976,0.98,0.98,0.859,0.857,0.984,0.988,0.984,0.984,0.984,0.858,0.863,0.992,1.0,0.976,0.98,0.98,0.862,0.856,0.984,0.988,0.976,0.98,0.98,0.861,0.857,0.984,0.988
4,0.948,0.945,0.976,0.822,0.938,0.96,0.953,0.913,0.957,0.968,0.903,0.949,0.964,0.969,0.889,0.967,0.961,1.0,0.959,0.968,0.984,0.92,0.956,0.969,0.88,0.948,0.964,0.968,0.916,0.956,0.968,0.892,0.948,0.964,0.968
5,0.918,1.0,0.894,0.96,0.936,0.912,0.96,0.86,0.821,0.849,0.858,0.877,0.87,0.858,0.83,0.768,0.826,0.813,0.844,0.847,0.813,0.876,0.869,0.864,0.884,0.891,0.882,0.884,0.869,0.849,0.857,0.873,0.884,0.876,0.873
6,0.955,0.929,0.975,0.91,0.897,0.967,0.974,0.898,0.937,0.951,0.899,0.9,0.955,0.938,0.864,0.944,0.932,0.891,0.904,0.946,0.911,0.91,0.936,0.953,0.902,0.9,0.957,0.943,0.904,0.936,0.952,0.9,0.9,0.956,0.94
7,0.512,0.557,0.516,0.434,0.66,0.621,0.627,0.639,0.57,0.625,0.328,0.587,0.657,0.629,0.568,0.567,0.559,0.474,0.609,0.658,0.632,0.294,0.553,0.357,0.551,0.664,0.616,0.629,0.522,0.562,0.526,0.462,0.629,0.637,0.629
