subject,mean_accuracy_AdaBoost,mean_accuracy_DecisionTree,mean_accuracy_KNN,mean_accuracy_LDA,mean_accuracy_QDA,mean_accuracy_RandomForest,mean_accuracy_SVM,std_accuracy_AdaBoost,std_accuracy_DecisionTree,std_accuracy_KNN,std_accuracy_LDA,std_accuracy_QDA,std_accuracy_RandomForest,std_accuracy_SVM
1,0.7917241379310344,0.767816091954023,0.7650574712643678,0.767816091954023,0.7883908045977011,0.7847126436781611,0.7779310344827587,0.0475639905938881,0.0454422928753351,0.0631121364117244,0.0371852848436682,0.0456611275068866,0.0424636034339291,0.0540640587342697
2,0.8151724137931036,0.8320689655172414,0.7916091954022988,0.8117241379310345,0.8183908045977011,0.8085057471264369,0.7983908045977012,0.0758860985975998,0.0590192670261265,0.0619689487916972,0.0787969389644701,0.0596971260799134,0.0754607987253825,0.0568569466243348
3,0.8954022988505749,0.9190804597701152,0.9358620689655172,0.855287356321839,0.8420689655172413,0.9222988505747128,0.9360919540229884,0.029232486177493,0.0433234233614852,0.0438556587040934,0.0695823943606975,0.0734233584269333,0.0434330691627385,0.023269546468275
4,0.9059770114942528,0.8582758620689657,0.9093103448275862,0.8550574712643678,0.8655172413793103,0.8886206896551723,0.9191954022988508,0.0593482014086131,0.0483634946279781,0.049711680277689,0.0544625065420239,0.0617488552577622,0.050706333430519,0.0564789036806876
5,0.8718390804597702,0.8078160919540232,0.8347126436781609,0.8549425287356323,0.8517241379310345,0.8379310344827587,0.8616091954022987,0.0540700455361678,0.0587620562735656,0.0536716380885073,0.0641412267929235,0.0524495743968064,0.0589913904384199,0.0537832784032726
6,0.8857471264367816,0.8854022988505748,0.902183908045977,0.8250574712643678,0.8686206896551724,0.892183908045977,0.8283908045977011,0.0699681901186861,0.0643289086023221,0.0353920346368393,0.0438767415638129,0.060702388946245,0.0575098720896324,0.0404462163818358
7,0.6102298850574712,0.5326436781609196,0.5491954022988506,0.5254022988505747,0.4780459770114943,0.5657471264367817,0.5118390804597701,0.1089051799580431,0.1139406914723906,0.1076156753040441,0.0752473351555497,0.0865685135827639,0.0577551608731018,0.06779475604367
