
classifier,mean_accuracy,std_accuracy
AdaBoost,0.8075862068965518,0.053893706888883286
DecisionTree,0.7701149425287357,0.021772433089750038
KNN,0.78,0.06451993519259946
LDA,0.8073563218390805,0.05243748204342545
RandomForest,0.7771264367816092,0.04484659190384939
QDA,0.7877011494252874,0.05428172328593427
SVM,0.8074712643678161,0.030246488163772775
