subject,mean_accuracy_AdaBoost,mean_accuracy_DecisionTree,mean_accuracy_KNN,mean_accuracy_LDA,mean_accuracy_QDA,mean_accuracy_RandomForest,mean_accuracy_SVM,std_accuracy_AdaBoost,std_accuracy_DecisionTree,std_accuracy_KNN,std_accuracy_LDA,std_accuracy_QDA,std_accuracy_RandomForest,std_accuracy_SVM
2,0.7736781609195402,0.7494252873563219,0.8006896551724138,0.8073563218390805,0.8212643678160919,0.8008045977011495,0.7940229885057472,0.0518681265313727,0.0854016026951407,0.0532401087732784,0.0524374820434254,0.0492116473339403,0.0436541071093227,0.0374642120152857
3,0.8244827586206898,0.8281609195402299,0.8111494252873562,0.824712643678161,0.8178160919540229,0.824712643678161,0.8279310344827587,0.0680592756498463,0.0543381610941148,0.0556018963815628,0.0566382153284559,0.0650522925520963,0.0780818565640023,0.0563360291765365
4,0.9185057471264368,0.850344827586207,0.9186206896551724,0.8306896551724139,0.7833333333333333,0.9119540229885056,0.9289655172413792,0.0578183770486018,0.1131011120214744,0.05364947915702,0.0855454316408548,0.0980632236114842,0.0440432413423476,0.0470248414293405
5,0.935632183908046,0.9357471264367816,0.9491954022988504,0.8580459770114943,0.8849425287356322,0.9255172413793102,0.9255172413793102,0.0440516397866794,0.0439539087672252,0.0437712257175776,0.0522862180019257,0.0464471651074497,0.0331576822659361,0.0336245699696134
6,0.864367816091954,0.8508045977011495,0.8578160919540231,0.7696551724137931,0.7797701149425287,0.8611494252873563,0.8744827586206896,0.065347632851561,0.0565554619828168,0.0571740591067924,0.0590791180132982,0.0653015202379124,0.0622279785193851,0.0562086594462979
7,0.904942528735632,0.8579310344827586,0.8848275862068965,0.8611494252873564,0.8440229885057471,0.8981609195402299,0.8611494252873564,0.0569958497259431,0.0545709553364825,0.032055573358259,0.0690015231679558,0.076051748241722,0.0573198004104256,0.0690015231679558
8,0.523448275862069,0.5302298850574713,0.5480459770114943,0.4424137931034483,0.4872413793103448,0.5440229885057472,0.4393103448275862,0.0845686481846562,0.0611642234276454,0.0644474056385471,0.0416702733278516,0.0969156387576532,0.066575542161594,0.0758251390432364
