classifier,precision_0,f1_0,precision_1,f1_1,accuracy
AdaBoost,0.85,0.739,0.72,0.795,0.77
DecisionTree,0.715,0.752,0.769,0.726,0.739
KNN,0.765,0.731,0.725,0.755,0.743
LDA,0.84,0.754,0.735,0.797,0.778
RandomForest,0.83,0.746,0.729,0.79,0.77
QDA,0.847,0.806,0.79,0.825,0.816
SVM,0.822,0.743,0.727,0.786,0.766
