classifier,precision_0,f1_0,precision_1,f1_1,accuracy
AdaBoost,0.981,0.877,0.827,0.899,0.889
DecisionTree,0.971,0.868,0.821,0.892,0.881
KNN,0.885,0.857,0.842,0.867,0.862
LDA,0.876,0.783,0.756,0.822,0.805
RandomForest,0.93,0.869,0.837,0.885,0.877
QDA,0.99,0.851,0.798,0.884,0.87
SVM,0.972,0.873,0.826,0.895,0.885
