classifier,precision_0,f1_0,precision_1,f1_1,accuracy
AdaBoost,0.433,0.439,0.433,0.426,0.433
DecisionTree,0.519,0.517,0.523,0.525,0.521
KNN,0.563,0.605,0.591,0.539,0.575
LDA,0.41,0.397,0.424,0.437,0.418
RandomForest,0.464,0.455,0.471,0.479,0.467
QDA,0.494,0.396,0.5,0.57,0.498
SVM,0.402,0.405,0.403,0.4,0.402
