classifier,precision_0,f1_0,precision_1,f1_1,accuracy
AdaBoost,0.959,0.929,0.906,0.933,0.931
DecisionTree,0.885,0.889,0.892,0.889,0.889
KNN,0.958,0.916,0.887,0.923,0.92
LDA,0.897,0.883,0.874,0.887,0.885
RandomForest,0.956,0.889,0.851,0.903,0.897
QDA,0.919,0.893,0.877,0.9,0.897
SVM,0.934,0.9,0.879,0.908,0.904
