classifier,precision_0,f1_0,precision_1,f1_1,accuracy
AdaBoost,0.894,0.93,0.967,0.924,0.927
DecisionTree,0.961,0.953,0.947,0.955,0.954
KNN,0.955,0.966,0.977,0.965,0.966
LDA,0.956,0.889,0.851,0.903,0.897
RandomForest,0.955,0.966,0.977,0.965,0.966
QDA,0.86,0.88,0.896,0.875,0.877
SVM,0.969,0.969,0.969,0.969,0.969
