classifier,precision_0,f1_0,precision_1,f1_1,accuracy
AdaBoost,0.876,0.749,0.726,0.807,0.782
DecisionTree,0.726,0.74,0.746,0.732,0.736
KNN,0.802,0.756,0.745,0.783,0.77
LDA,0.814,0.774,0.762,0.796,0.785
RandomForest,0.792,0.673,0.673,0.75,0.716
QDA,0.831,0.79,0.776,0.81,0.801
SVM,0.736,0.675,0.675,0.723,0.701
