classifier,precision_0,f1_0,precision_1,f1_1,accuracy
AdaBoost,0.935,0.913,0.898,0.918,0.916
DecisionTree,0.969,0.957,0.948,0.958,0.958
KNN,0.92,0.944,0.968,0.941,0.943
LDA,0.822,0.899,0.99,0.877,0.889
RandomForest,0.961,0.949,0.94,0.951,0.95
QDA,0.772,0.869,0.989,0.827,0.851
SVM,0.9,0.933,0.967,0.929,0.931
