subject,precision_0_AdaBoost,precision_0_DecisionTree,precision_0_KNN,precision_0_LDA,precision_0_QDA,precision_0_RandomForest,precision_0_SVM,f1_0_AdaBoost,f1_0_DecisionTree,f1_0_KNN,f1_0_LDA,f1_0_QDA,f1_0_RandomForest,f1_0_SVM,precision_1_AdaBoost,precision_1_DecisionTree,precision_1_KNN,precision_1_LDA,precision_1_QDA,precision_1_RandomForest,precision_1_SVM,f1_1_AdaBoost,f1_1_DecisionTree,f1_1_KNN,f1_1_LDA,f1_1_QDA,f1_1_RandomForest,f1_1_SVM,accuracy_AdaBoost,accuracy_DecisionTree,accuracy_KNN,accuracy_LDA,accuracy_QDA,accuracy_RandomForest,accuracy_SVM
1,0.876,0.726,0.802,0.814,0.831,0.792,0.736,0.749,0.74,0.756,0.774,0.79,0.673,0.675,0.726,0.746,0.745,0.762,0.776,0.673,0.675,0.807,0.732,0.783,0.796,0.81,0.75,0.723,0.782,0.736,0.77,0.785,0.801,0.716,0.701
2,0.859,0.81,0.759,0.774,0.851,0.835,0.822,0.742,0.723,0.715,0.756,0.795,0.738,0.743,0.722,0.712,0.71,0.752,0.776,0.722,0.727,0.799,0.774,0.746,0.769,0.82,0.789,0.786,0.774,0.751,0.732,0.762,0.808,0.766,0.766
3,0.894,0.961,0.955,0.956,0.86,0.955,0.969,0.93,0.953,0.966,0.889,0.88,0.966,0.969,0.967,0.947,0.977,0.851,0.896,0.977,0.969,0.924,0.955,0.965,0.903,0.875,0.965,0.969,0.927,0.954,0.966,0.897,0.877,0.966,0.969
4,0.935,0.969,0.92,0.822,0.772,0.961,0.9,0.913,0.957,0.944,0.899,0.869,0.949,0.933,0.898,0.948,0.968,0.99,0.989,0.94,0.967,0.918,0.958,0.941,0.877,0.827,0.951,0.929,0.916,0.958,0.943,0.889,0.851,0.95,0.931
5,0.981,0.971,0.885,0.876,0.99,0.93,0.972,0.877,0.868,0.857,0.783,0.851,0.869,0.873,0.827,0.821,0.842,0.756,0.798,0.837,0.826,0.899,0.892,0.867,0.822,0.884,0.885,0.895,0.889,0.881,0.862,0.805,0.87,0.877,0.885
6,0.959,0.885,0.958,0.897,0.919,0.956,0.934,0.929,0.889,0.916,0.883,0.893,0.889,0.9,0.906,0.892,0.887,0.874,0.877,0.851,0.879,0.933,0.889,0.923,0.887,0.9,0.903,0.908,0.931,0.889,0.92,0.885,0.897,0.897,0.904
7,0.433,0.519,0.563,0.41,0.494,0.464,0.402,0.439,0.517,0.605,0.397,0.396,0.455,0.405,0.433,0.523,0.591,0.424,0.5,0.471,0.403,0.426,0.525,0.539,0.437,0.57,0.479,0.4,0.433,0.521,0.575,0.418,0.498,0.467,0.402
