subject,mean_accuracy_AdaBoost,mean_accuracy_DecisionTree,mean_accuracy_KNN,mean_accuracy_LDA,mean_accuracy_QDA,mean_accuracy_RandomForest,mean_accuracy_SVM,std_accuracy_AdaBoost,std_accuracy_DecisionTree,std_accuracy_KNN,std_accuracy_LDA,std_accuracy_QDA,std_accuracy_RandomForest,std_accuracy_SVM
1,0.721609195402299,0.7149425287356321,0.734712643678161,0.7319540229885056,0.7388505747126436,0.7381609195402299,0.7450574712643678,0.096433699072568,0.0714051260995574,0.1143950178475297,0.081930402360914,0.0965268167106898,0.1024715061142963,0.1070704308239389
2,0.7452873563218391,0.644367816091954,0.7385057471264369,0.7821839080459769,0.7556321839080459,0.7821839080459769,0.7755172413793103,0.0611969394523559,0.1094952929742264,0.0377573522766711,0.0554310270344346,0.06003302037607,0.0490503016445929,0.0548892397756581
3,0.9024137931034484,0.8655172413793103,0.916206896551724,0.8726436781609195,0.8694252873563219,0.9157471264367816,0.8891954022988505,0.0417368018525732,0.0404656474310103,0.0401524706717249,0.0535903438789274,0.0524349624521303,0.0515528453599927,0.0587809394052436
4,0.8788505747126436,0.8354022988505747,0.888735632183908,0.8280459770114943,0.7844827586206897,0.8486206896551725,0.8989655172413794,0.0695648289350221,0.0591117587830337,0.0648601858198424,0.0829327669663947,0.086248648892935,0.064815866716011,0.0605572615487047
5,0.8324137931034482,0.8426436781609196,0.8254022988505747,0.8288505747126436,0.8086206896551724,0.8357471264367815,0.8424137931034483,0.0757327354511857,0.0628525464463816,0.0559770114942529,0.0767527821169364,0.080951290140101,0.0637479388634702,0.053628912404963
6,0.8525287356321838,0.8560919540229885,0.8489655172413795,0.8624137931034482,0.8489655172413793,0.8524137931034483,0.8590804597701149,0.0577580202404884,0.0695431746312959,0.0637474207354005,0.0675076758552614,0.0637474207354005,0.0397348857320688,0.0442974846045565
7,0.5534482758620689,0.5740229885057471,0.5164367816091955,0.5408045977011494,0.5037931034482759,0.5135632183908045,0.5774712643678162,0.101085729683636,0.1028966133555021,0.0955020251514739,0.0871613826135418,0.0614336364688538,0.0677416306582859,0.1026124600169006
