subject;classifier;model;preprocessing;accuracy
1;AdaBoost;AdaBoostClassifier(algorithm='SAMME', learning_rate=0.00767832856502021,                n_estimators=221, random_state=1);(PCA(n_components=2),);0.724
1;DecisionTree;DecisionTreeClassifier(criterion='entropy', max_features=0.9661616172631774,                    max_leaf_nodes=10, random_state=3);(Normalizer(),);0.678
1;KNN;KNeighborsClassifier(leaf_size=38, metric='cityblock', n_jobs=1, n_neighbors=3,                  p=4.3675134071404695);(StandardScaler(with_mean=False, with_std=False),);0.77
1;LDA;LinearDiscriminantAnalysis(solver='eigen', tol=2.7374144754741626e-05);(PCA(n_components=2),);0.782
1;RandomForest;RandomForestClassifier(bootstrap=False, criterion='entropy', max_depth=2,                    n_estimators=81, n_jobs=1, random_state=1,                    verbose=False);(Normalizer(norm='l1'),);0.621
1;QDA;QuadraticDiscriminantAnalysis(reg_param=0.48818919609586897,                           tol=0.0006598772373268933);(StandardScaler(with_mean=False),);0.805
1;SVM;SVC(C=1.1082879046562302, coef0=0.003445024973868116, degree=5, random_state=3, tol=0.006472725200623605);(Normalizer(norm='l1'),);0.667
2;AdaBoost;AdaBoostClassifier(algorithm='SAMME', learning_rate=0.010137943933173374,                n_estimators=448, random_state=0);(Normalizer(norm='l1'),);0.747
2;DecisionTree;DecisionTreeClassifier(criterion='entropy', max_depth=4,                    max_features=0.08104529890045276, max_leaf_nodes=15,                    random_state=4);(Normalizer(),);0.759
2;KNN;KNeighborsClassifier(algorithm='brute', leaf_size=22, n_jobs=1, n_neighbors=12,                  p=2.6171288793541905, weights='distance');(Normalizer(norm='max'),);0.713
2;LDA;LinearDiscriminantAnalysis(solver='lsqr', tol=0.00033581768348560245);(Normalizer(norm='max'),);0.816
2;RandomForest;RandomForestClassifier(class_weight='balanced_subsample', criterion='entropy',                    max_depth=4, max_features=None, max_leaf_nodes=10,                    min_impurity_decrease=0.02, min_samples_leaf=45,                    min_samples_split=3, n_estimators=30, n_jobs=1,                    random_state=1, verbose=False);(Normalizer(),);0.793
2;QDA;QuadraticDiscriminantAnalysis(reg_param=0.27155919347075574,                           tol=0.00010601285624149173);(StandardScaler(with_mean=False),);0.805
3;AdaBoost;AdaBoostClassifier(algorithm='SAMME', learning_rate=0.0062077691625831615,                n_estimators=705, random_state=0);(StandardScaler(),);0.954
3;DecisionTree;DecisionTreeClassifier(max_features=0.24604017461494454, random_state=4);(PCA(n_components=2, whiten=True),);0.966
3;KNN;KNeighborsClassifier(algorithm='kd_tree', leaf_size=39, n_jobs=1,                  n_neighbors=12, p=2.6768760096535686);(StandardScaler(with_std=False),);0.954
3;LDA;LinearDiscriminantAnalysis(tol=0.00018828347423531074);(Normalizer(norm='l1'),);0.908
3;RandomForest;RandomForestClassifier(class_weight='balanced', criterion='entropy',                    max_depth=3, max_features=0.8052916224100325,                    min_impurity_decrease=0.02, min_samples_leaf=5,                    n_estimators=11, n_jobs=1, random_state=4,                    verbose=False);(PCA(n_components=2),);0.966
3;QDA;QuadraticDiscriminantAnalysis(reg_param=0.0014207270930576422,                           tol=3.6481494358255665e-05);(Normalizer(norm='max'),);0.874
3;SVM;SVC(C=0.981332711804974, coef0=0.7311461643618702, degree=4, gamma='auto', kernel='poly', random_state=1, shrinking=False, tol=3.5382240941879696e-05);(PCA(n_components=2),);0.966
4;AdaBoost;AdaBoostClassifier(algorithm='SAMME', learning_rate=0.004064014506338443,                n_estimators=400, random_state=1);(StandardScaler(with_mean=False, with_std=False),);0.851
4;DecisionTree;DecisionTreeClassifier(criterion='entropy', max_depth=4, max_leaf_nodes=5,                    random_state=1);(StandardScaler(with_std=False),);0.908
4;KNN;KNeighborsClassifier(algorithm='ball_tree', leaf_size=32, n_jobs=1,                  n_neighbors=6, p=4.287791997849644);(PCA(n_components=2, whiten=True),);0.954
4;LDA;LinearDiscriminantAnalysis(solver='lsqr', tol=0.0005321923067036189);(MinMaxScaler(feature_range=(-1.0, 1.0)),);0.874
4;RandomForest;RandomForestClassifier(class_weight='balanced_subsample', min_samples_leaf=3,                    n_estimators=1181, n_jobs=1, random_state=4,                    verbose=False);(StandardScaler(with_mean=False, with_std=False),);0.897
4;QDA;QuadraticDiscriminantAnalysis(reg_param=0.4936296299022193,                           tol=2.8908724378566504e-05);(PCA(n_components=2, whiten=True),);0.862
4;SVM;SVC(C=1.0375665024641847, coef0=0.505112731559667, degree=2, gamma='auto', random_state=2, shrinking=False, tol=1.1467689406688592e-05);(MinMaxScaler(clip=True, feature_range=(-1.0, 1.0)),);0.908
5;AdaBoost;AdaBoostClassifier(learning_rate=0.001481160558960688, n_estimators=12,                random_state=2);(MinMaxScaler(clip=True, feature_range=(0.0, 1.0)),);0.874
5;DecisionTree;DecisionTreeClassifier(criterion='entropy', max_depth=4, max_features='sqrt',                    random_state=2, splitter='random');(StandardScaler(with_mean=False),);0.851
5;KNN;KNeighborsClassifier(algorithm='kd_tree', leaf_size=28, metric='l1', n_jobs=1,                  n_neighbors=6, p=3.416994648527053);(StandardScaler(with_mean=False, with_std=False),);0.862
5;LDA;LinearDiscriminantAnalysis(solver='eigen', tol=0.00022420990963212668);(Normalizer(norm='max'),);0.793
