subject;classifier;model;preprocessing;accuracy
5;RandomForest;RandomForestClassifier(class_weight='balanced_subsample',                    max_features=0.5378043152403892,                    min_impurity_decrease=0.05, min_samples_leaf=43,                    n_estimators=14, n_jobs=1, random_state=0,                    verbose=False);(MinMaxScaler(clip=True, feature_range=(-1.0, 1.0)),);0.874
5;QDA;QuadraticDiscriminantAnalysis(reg_param=0.07375253414059685,                           tol=0.0037244428054254786);(PCA(n_components=2),);0.874
5;SVM;SVC(C=1.0331567316810468, coef0=0.037097953295481156, decision_function_shape='ovo', gamma='auto', kernel='sigmoid', random_state=2, shrinking=False, tol=0.0020294407857484663);(PCA(n_components=2),);0.885
6;AdaBoost;AdaBoostClassifier(learning_rate=0.03339790608222183, n_estimators=562,                random_state=2);(StandardScaler(with_mean=False),);0.908
6;DecisionTree;DecisionTreeClassifier(max_features=0.08004845937128868, max_leaf_nodes=15,                    random_state=0);(MinMaxScaler(clip=True, feature_range=(-1.0, 1.0)),);0.885
6;KNN;KNeighborsClassifier(algorithm='kd_tree', leaf_size=38, metric='manhattan',                  n_jobs=1, n_neighbors=9, p=1.2003259876753107);(PCA(n_components=2, whiten=True),);0.897
6;LDA;LinearDiscriminantAnalysis(tol=0.0005430881433527758);(MinMaxScaler(clip=True, feature_range=(0.0, 1.0)),);0.862
6;RandomForest;RandomForestClassifier(class_weight='balanced_subsample', criterion='entropy',                    min_samples_leaf=39, n_estimators=39, n_jobs=1,                    random_state=4, verbose=False);(PCA(n_components=2),);0.897
6;QDA;QuadraticDiscriminantAnalysis(reg_param=0.07282716542271517,                           tol=5.310971738805197e-05);(PCA(n_components=2),);0.897
6;SVM;SVC(C=1.0921943445427318, coef0=0.5760141108089653, degree=2, gamma='auto', kernel='linear', random_state=4, shrinking=False, tol=0.006731688143096807);(StandardScaler(with_mean=False),);0.862
7;AdaBoost;AdaBoostClassifier(learning_rate=164.6981864815456, n_estimators=468,                random_state=3);(PCA(n_components=2),);0.517
7;DecisionTree;DecisionTreeClassifier(max_depth=4, max_features='sqrt', random_state=3);(Normalizer(norm='l1'),);0.529
7;KNN;KNeighborsClassifier(algorithm='kd_tree', leaf_size=25, n_jobs=1,                  n_neighbors=12, p=2.943231884392794);(StandardScaler(),);0.517
7;LDA;LinearDiscriminantAnalysis(solver='lsqr', tol=0.00025953170135585677);(Normalizer(norm='l1'),);0.471
7;RandomForest;RandomForestClassifier(class_weight='balanced_subsample', n_estimators=445,                    n_jobs=1, random_state=4, verbose=False);(Normalizer(norm='l1'),);0.46
7;QDA;QuadraticDiscriminantAnalysis(reg_param=0.19420813315064708,                           tol=0.009262519643900407);(MinMaxScaler(clip=True, feature_range=(-1.0, 1.0)),);0.517
7;SVM;SVC(C=0.8015635159611656, coef0=0.2620645219807836, decision_function_shape='ovo', kernel='sigmoid', random_state=2, tol=1.3109182250734213e-05);(StandardScaler(),);0.46
