classifier,precision_0,f1_0,precision_1,f1_1,accuracy
AdaBoost,0.803,0.777,0.769,0.792,0.785
DecisionTree,0.78,0.786,0.79,0.784,0.785
KNN,0.839,0.815,0.805,0.826,0.821
LDA,0.793,0.78,0.777,0.789,0.785
RandomForest,0.838,0.81,0.799,0.823,0.817
QDA,0.865,0.814,0.793,0.835,0.825
SVM,0.86,0.82,0.803,0.837,0.829
