classifier,precision_0,f1_0,precision_1,f1_1,accuracy
AdaBoost,0.961,0.968,0.976,0.968,0.968
DecisionTree,0.937,0.94,0.944,0.94,0.94
KNN,0.992,0.976,0.962,0.977,0.976
LDA,0.675,0.653,0.657,0.677,0.665
RandomForest,0.961,0.968,0.976,0.968,0.968
QDA,0.925,0.958,0.991,0.955,0.956
SVM,0.976,0.972,0.969,0.972,0.972
