classifier,precision_0,f1_0,precision_1,f1_1,accuracy
AdaBoost,0.917,0.942,0.966,0.939,0.94
DecisionTree,0.938,0.949,0.959,0.948,0.948
KNN,0.975,0.947,0.925,0.95,0.948
LDA,0.943,0.866,0.828,0.886,0.876
RandomForest,0.96,0.96,0.96,0.96,0.96
QDA,0.925,0.906,0.893,0.911,0.908
SVM,0.973,0.924,0.891,0.932,0.928
