classifier,precision_0,f1_0,precision_1,f1_1,accuracy
AdaBoost,0.81,0.797,0.792,0.805,0.801
DecisionTree,0.828,0.818,0.814,0.824,0.821
KNN,0.877,0.866,0.86,0.871,0.869
LDA,0.868,0.797,0.772,0.827,0.813
RandomForest,0.88,0.851,0.836,0.862,0.857
QDA,0.962,0.878,0.836,0.897,0.888
SVM,0.971,0.882,0.837,0.901,0.892
