classifier,precision_0,f1_0,precision_1,f1_1,accuracy
AdaBoost,0.976,0.984,0.992,0.984,0.984
DecisionTree,0.976,0.98,0.984,0.98,0.98
KNN,0.976,0.976,0.976,0.976,0.976
LDA,0.863,0.859,0.858,0.862,0.861
RandomForest,0.976,0.984,0.992,0.984,0.984
QDA,0.99,0.875,0.822,0.899,0.888
SVM,0.961,0.976,0.992,0.976,0.976
