classifier,precision_0,f1_0,precision_1,f1_1,accuracy
AdaBoost,0.53,0.508,0.529,0.55,0.53
DecisionTree,0.573,0.57,0.575,0.577,0.574
KNN,0.538,0.521,0.537,0.554,0.538
LDA,0.434,0.328,0.474,0.551,0.462
RandomForest,0.57,0.561,0.569,0.578,0.57
QDA,0.688,0.537,0.591,0.68,0.622
SVM,0.484,0.49,0.488,0.482,0.486
