subject;classifier;model;preprocessing;accuracy
6;KNN;KNeighborsClassifier(algorithm='ball_tree', leaf_size=35, metric='euclidean',                  n_jobs=1, n_neighbors=12, p=1.225140947664094);(Normalizer(norm='max'),);0.847
6;LDA;LinearDiscriminantAnalysis(tol=0.00042260008770877305);(Normalizer(norm='l1'),);0.857
6;RandomForest;RandomForestClassifier(bootstrap=False, class_weight='balanced_subsample',                    criterion='entropy', max_depth=3, max_features='log2',                    min_samples_split=3, n_estimators=88, n_jobs=1,                    random_state=0, verbose=False);(StandardScaler(with_mean=False, with_std=False),);0.857
6;QDA;QuadraticDiscriminantAnalysis(reg_param=0.12284143435501588,                           tol=0.0009040334238097594);(Normalizer(norm='max'),);0.796
6;SVM;SVC(C=1.2300671840944315, coef0=0.5828103092316862, degree=2, random_state=4, shrinking=False, tol=0.0020105834259255555);(StandardScaler(with_mean=False, with_std=False),);0.857
7;AdaBoost;AdaBoostClassifier(learning_rate=0.0164245431214157, n_estimators=38,                random_state=2);(Normalizer(),);0.592
7;DecisionTree;DecisionTreeClassifier(criterion='entropy', max_features=0.6970881310564278,                    max_leaf_nodes=15, random_state=4);(Normalizer(norm='max'),);0.602
7;KNN;KNeighborsClassifier(algorithm='brute', leaf_size=26, metric='cityblock',                  n_jobs=1, n_neighbors=4, p=2.398808312889452);(Normalizer(),);0.551
7;LDA;LinearDiscriminantAnalysis(solver='lsqr', tol=1.7582631928336565e-05);(Normalizer(norm='max'),);0.602
7;RandomForest;RandomForestClassifier(bootstrap=False, class_weight='balanced_subsample',                    max_features=0.08160926293037735, min_samples_leaf=50,                    n_estimators=279, n_jobs=1, random_state=4,                    verbose=False);(Normalizer(),);0.592
7;QDA;QuadraticDiscriminantAnalysis(reg_param=0.020292667042397794,                           tol=0.003940070781191713);(Normalizer(norm='max'),);0.551
7;SVM;SVC(C=1.082490308250056, coef0=0.13834340543816176, degree=1, kernel='poly', random_state=4, shrinking=False, tol=0.0006424200553403445);(Normalizer(norm='l1'),);0.592
