subject;classifier;model;preprocessing;accuracy
1;AdaBoost;AdaBoostClassifier(learning_rate=0.014004238322143378, n_estimators=554,                random_state=1);(StandardScaler(),);0.728
1;DecisionTree;DecisionTreeClassifier(max_depth=4, max_leaf_nodes=15, random_state=2);(MinMaxScaler(clip=True, feature_range=(-1.0, 1.0)),);0.717
1;KNN;KNeighborsClassifier(algorithm='brute', leaf_size=22, n_jobs=1,                  p=2.740179791837888, weights='distance');(PCA(n_components=2, whiten=True),);0.772
1;LDA;LinearDiscriminantAnalysis(tol=0.0002740204891537529);(Normalizer(),);0.674
1;RandomForest;RandomForestClassifier(bootstrap=False, class_weight='balanced', max_depth=4,                    max_features=0.6935212293205149, min_samples_split=3,                    n_estimators=88, n_jobs=1, random_state=1,                    verbose=False);(StandardScaler(with_mean=False),);0.761
1;QDA;QuadraticDiscriminantAnalysis(reg_param=0.17949788410144735,                           tol=3.3871461162685325e-05);(StandardScaler(with_std=False),);0.728
1;SVM;SVC(C=1.1850255184580818, coef0=0.09476274812948113, degree=5, random_state=2, shrinking=False, tol=0.0003424085897780525);(PCA(n_components=2, whiten=True),);0.783
2;AdaBoost;AdaBoostClassifier(algorithm='SAMME', learning_rate=0.03278306290043668,                n_estimators=751, random_state=1);(MinMaxScaler(feature_range=(-1.0, 1.0)),);0.837
2;DecisionTree;DecisionTreeClassifier(criterion='entropy', max_depth=4,                    max_features=0.6872779951284529, random_state=2,                    splitter='random');(PCA(n_components=2),);0.804
2;KNN;KNeighborsClassifier(algorithm='ball_tree', leaf_size=25, n_jobs=1,                  n_neighbors=13, p=2.569625328863607, weights='distance');(StandardScaler(with_std=False),);0.783
2;LDA;LinearDiscriminantAnalysis(solver='lsqr', tol=1.818044641471672e-05);(PCA(n_components=2),);0.826
2;RandomForest;RandomForestClassifier(class_weight='balanced', criterion='entropy',                    max_depth=2, max_features=0.884135521316545,                    min_samples_leaf=12, n_estimators=800, n_jobs=1,                    random_state=3, verbose=False);(MinMaxScaler(feature_range=(0.0, 1.0)),);0.837
2;QDA;QuadraticDiscriminantAnalysis(reg_param=0.1740615904299851,                           tol=0.0007504933238936407);(MinMaxScaler(feature_range=(0.0, 1.0)),);0.717
2;SVM;SVC(C=1.205408413586307, coef0=0.8612294209353486, decision_function_shape='ovo', degree=2, gamma='auto', random_state=4, tol=0.0003388272064148223);(PCA(n_components=2),);0.837
3;AdaBoost;AdaBoostClassifier(algorithm='SAMME', learning_rate=0.02291439679274727,                n_estimators=461, random_state=1);(PCA(n_components=2),);0.902
3;DecisionTree;DecisionTreeClassifier(criterion='entropy', max_features=0.2596397054624645,                    random_state=2);(StandardScaler(with_mean=False),);0.935
3;KNN;KNeighborsClassifier(algorithm='kd_tree', leaf_size=37, metric='l2', n_jobs=1,                  n_neighbors=7, p=2.8081138428338672);(StandardScaler(with_mean=False, with_std=False),);0.913
3;LDA;LinearDiscriminantAnalysis(solver='eigen', tol=3.957259506469823e-05);(MinMaxScaler(feature_range=(-1.0, 1.0)),);0.75
3;RandomForest;RandomForestClassifier(class_weight='balanced', criterion='entropy',                    max_features=0.3979984128850327, max_leaf_nodes=15,                    min_impurity_decrease=0.05, min_samples_leaf=29,                    n_estimators=912, n_jobs=1, random_state=3,                    verbose=False);(PCA(n_components=2),);0.913
