subject;classifier;model;preprocessing;accuracy
3;QDA;QuadraticDiscriminantAnalysis(reg_param=0.06814420606894711,                           tol=0.00011546465564000156);(PCA(n_components=2),);0.859
3;SVM;SVC(C=1.0122246102455068, coef0=0.46712158012872856, decision_function_shape='ovo', degree=4, kernel='poly', random_state=0, shrinking=False, tol=0.0012396723739457314);(PCA(n_components=2),);0.891
4;AdaBoost;AdaBoostClassifier(learning_rate=0.8716298194278117, n_estimators=344,                random_state=3);(PCA(n_components=2, whiten=True),);0.826
4;DecisionTree;DecisionTreeClassifier(criterion='entropy', max_depth=4, max_leaf_nodes=15,                    random_state=1);(StandardScaler(),);0.902
4;KNN;KNeighborsClassifier(algorithm='kd_tree', leaf_size=38, metric='cityblock',                  n_jobs=1, n_neighbors=6, p=4.24003441451113);(MinMaxScaler(feature_range=(-1.0, 1.0)),);0.902
4;LDA;LinearDiscriminantAnalysis(tol=0.00010112843434268814);(PCA(n_components=2, whiten=True),);0.859
4;RandomForest;RandomForestClassifier(bootstrap=False, criterion='entropy', min_samples_leaf=3,                    n_estimators=20, n_jobs=1, random_state=1,                    verbose=False);(StandardScaler(),);0.891
4;QDA;QuadraticDiscriminantAnalysis(reg_param=0.027667472604298193,                           tol=0.00021377368480096293);(PCA(n_components=2),);0.804
4;SVM;SVC(C=1.2692137555745453, coef0=0.7771517921747221, decision_function_shape='ovo', degree=5, random_state=2, shrinking=False, tol=0.008948076723390364);(PCA(n_components=2),);0.924
5;AdaBoost;AdaBoostClassifier(algorithm='SAMME', learning_rate=0.00047176427970304925,                n_estimators=260, random_state=2);(MinMaxScaler(clip=True, feature_range=(-1.0, 1.0)),);0.848
5;DecisionTree;DecisionTreeClassifier(criterion='entropy', max_features=0.26171926289436276,                    random_state=2);(PCA(n_components=2),);0.815
5;KNN;KNeighborsClassifier(algorithm='ball_tree', leaf_size=35, metric='euclidean',                  n_jobs=1, n_neighbors=14, p=3.3327137441756154);(Normalizer(norm='max'),);0.761
5;LDA;LinearDiscriminantAnalysis(solver='lsqr', tol=0.0015470287352966478);(Normalizer(norm='max'),);0.761
5;RandomForest;RandomForestClassifier(bootstrap=False, class_weight='balanced_subsample',                    max_features=None, max_leaf_nodes=10, n_estimators=797,                    n_jobs=1, random_state=0, verbose=False);(PCA(n_components=2),);0.815
5;QDA;QuadraticDiscriminantAnalysis(reg_param=0.061112531845248286,                           tol=0.0003516924374283479);(Normalizer(norm='l1'),);0.717
5;SVM;SVC(C=1.1508138917775332, coef0=0.9482749461218235, decision_function_shape='ovo', kernel='poly', random_state=0, shrinking=False, tol=0.0005629583328918335);(PCA(n_components=2),);0.837
6;AdaBoost;AdaBoostClassifier(learning_rate=0.08867228751131077, n_estimators=31,                random_state=1);(StandardScaler(with_std=False),);0.859
6;DecisionTree;DecisionTreeClassifier(criterion='entropy', max_depth=4, max_leaf_nodes=10,                    random_state=3, splitter='random');(StandardScaler(with_mean=False),);0.87
6;KNN;KNeighborsClassifier(algorithm='kd_tree', leaf_size=26, metric='euclidean',                  n_jobs=1, p=3.99683425418009, weights='distance');(StandardScaler(with_mean=False),);0.87
6;LDA;LinearDiscriminantAnalysis(tol=0.0003892630177647515);(StandardScaler(),);0.913
6;RandomForest;RandomForestClassifier(max_features=0.638659090089102, max_leaf_nodes=5,                    min_samples_leaf=6, min_samples_split=3, n_estimators=19,                    n_jobs=1, random_state=3, verbose=False);(PCA(n_components=2),);0.891
6;QDA;QuadraticDiscriminantAnalysis(reg_param=0.05447795668192168,                           tol=0.0003423503159173344);(PCA(n_components=2),);0.902
6;SVM;SVC(C=1.373950281050673, coef0=0.14725978576471355, kernel='sigmoid', random_state=0, shrinking=False, tol=0.0004891183045753676);(PCA(n_components=2, whiten=True),);0.783
7;AdaBoost;AdaBoostClassifier(algorithm='SAMME', learning_rate=9.60090929852789e-05,                n_estimators=84, random_state=0);(PCA(n_components=2, whiten=True),);0.5
7;DecisionTree;DecisionTreeClassifier(max_depth=3, random_state=0);(MinMaxScaler(clip=True, feature_range=(-1.0, 1.0)),);0.554
7;KNN;KNeighborsClassifier(algorithm='ball_tree', leaf_size=25, metric='euclidean',                  n_jobs=1, n_neighbors=6, p=1.0122917174614083);(Normalizer(norm='l1'),);0.511
7;LDA;LinearDiscriminantAnalysis(solver='eigen', tol=0.0012222589881774777);(Normalizer(),);0.641
7;RandomForest;RandomForestClassifier(criterion='entropy', max_features=None,                    min_samples_leaf=6, n_estimators=1222, n_jobs=1,                    random_state=2, verbose=False);(StandardScaler(),);0.489
7;QDA;QuadraticDiscriminantAnalysis(reg_param=0.09137388185486656,                           tol=0.009539707023269266);(PCA(n_components=2, whiten=True),);0.576
7;SVM;SVC(C=1.090128911424525, coef0=0.6726063947057257, degree=4, kernel='poly', random_state=4, tol=0.002158340751255207);(StandardScaler(with_std=False),);0.598
