subject;classifier;model;preprocessing;accuracy
6;RandomForest;RandomForestClassifier(bootstrap=False, class_weight='balanced',                    criterion='entropy', max_features=0.23752563496212786,                    n_estimators=498, n_jobs=1, random_state=2,                    verbose=False);(PCA(n_components=2),);0.928
6;QDA;QuadraticDiscriminantAnalysis(reg_param=0.3536873383284058,                           tol=7.547296715494834e-05);(StandardScaler(with_mean=False, with_std=False),);0.928
6;SVM;SVC(C=1.3978054200900367, coef0=0.786466611952179, decision_function_shape='ovo', gamma='auto', kernel='poly', random_state=2, shrinking=False, tol=1.1680964496782606e-05);(MinMaxScaler(clip=True, feature_range=(-1.0, 1.0)),);0.928
7;AdaBoost;AdaBoostClassifier(learning_rate=0.2649781408330292, random_state=1);(Normalizer(),);0.627
7;DecisionTree;DecisionTreeClassifier(criterion='entropy', max_depth=3, max_features='sqrt',                    random_state=0);(Normalizer(norm='l1'),);0.627
7;KNN;KNeighborsClassifier(algorithm='brute', leaf_size=26, metric='l2', n_jobs=1,                  n_neighbors=7, p=4.965498027132323, weights='distance');(MinMaxScaler(clip=True, feature_range=(-1.0, 1.0)),);0.675
7;LDA;LinearDiscriminantAnalysis(tol=0.003705471454926662);(PCA(n_components=2),);0.627
7;RandomForest;RandomForestClassifier(class_weight='balanced', criterion='entropy',                    max_depth=2, max_features=0.5862001785877923,                    n_estimators=10, n_jobs=1, random_state=1,                    verbose=False);(PCA(n_components=2, whiten=True),);0.687
7;QDA;QuadraticDiscriminantAnalysis(reg_param=0.3771516883656225,                           tol=0.00013691287988046107);(StandardScaler(),);0.627
7;SVM;SVC(C=0.8541035356744299, coef0=0.7364690928092743, random_state=3, tol=8.564051269644654e-05);(MinMaxScaler(feature_range=(-1.0, 1.0)),);0.651
