classifier,precision_0,f1_0,precision_1,f1_1,accuracy
AdaBoost,0.903,0.816,0.785,0.848,0.833
DecisionTree,0.791,0.797,0.803,0.797,0.797
KNN,0.772,0.731,0.725,0.76,0.746
LDA,0.807,0.715,0.707,0.771,0.746
RandomForest,0.848,0.809,0.795,0.828,0.819
QDA,0.868,0.62,0.645,0.761,0.707
SVM,0.927,0.826,0.789,0.859,0.844
