classifier,precision_0,f1_0,precision_1,f1_1,accuracy
AdaBoost,0.845,0.86,0.873,0.857,0.859
DecisionTree,0.904,0.897,0.894,0.9,0.899
KNN,0.869,0.894,0.916,0.889,0.891
LDA,0.762,0.848,0.942,0.807,0.83
RandomForest,0.868,0.864,0.864,0.867,0.866
QDA,0.757,0.845,0.942,0.802,0.826
SVM,0.919,0.916,0.914,0.918,0.917
