subject,precision_0_AdaBoost,precision_0_DecisionTree,precision_0_KNN,precision_0_LDA,precision_0_QDA,precision_0_RandomForest,precision_0_SVM,f1_0_AdaBoost,f1_0_DecisionTree,f1_0_KNN,f1_0_LDA,f1_0_QDA,f1_0_RandomForest,f1_0_SVM,precision_1_AdaBoost,precision_1_DecisionTree,precision_1_KNN,precision_1_LDA,precision_1_QDA,precision_1_RandomForest,precision_1_SVM,f1_1_AdaBoost,f1_1_DecisionTree,f1_1_KNN,f1_1_LDA,f1_1_QDA,f1_1_RandomForest,f1_1_SVM,accuracy_AdaBoost,accuracy_DecisionTree,accuracy_KNN,accuracy_LDA,accuracy_QDA,accuracy_RandomForest,accuracy_SVM
1,0.804,0.785,0.739,0.819,0.881,0.819,0.847,0.686,0.689,0.688,0.618,0.67,0.711,0.706,0.684,0.686,0.688,0.642,0.672,0.702,0.697,0.76,0.753,0.73,0.747,0.779,0.774,0.782,0.728,0.725,0.71,0.696,0.736,0.746,0.75
2,0.814,0.753,0.786,0.817,0.839,0.817,0.826,0.789,0.609,0.769,0.783,0.652,0.783,0.775,0.782,0.634,0.766,0.773,0.661,0.773,0.761,0.804,0.72,0.782,0.803,0.762,0.803,0.803,0.797,0.674,0.775,0.793,0.717,0.793,0.79
3,0.942,0.933,0.969,1.0,0.99,0.931,0.947,0.945,0.926,0.948,0.731,0.855,0.906,0.925,0.949,0.922,0.931,0.706,0.802,0.89,0.91,0.946,0.929,0.951,0.827,0.887,0.912,0.93,0.946,0.928,0.949,0.79,0.873,0.909,0.928
4,0.845,0.904,0.869,0.762,0.757,0.868,0.919,0.86,0.897,0.894,0.848,0.845,0.864,0.916,0.873,0.894,0.916,0.942,0.942,0.864,0.914,0.857,0.9,0.889,0.807,0.802,0.867,0.918,0.859,0.899,0.891,0.83,0.826,0.866,0.917
5,0.903,0.791,0.772,0.807,0.868,0.848,0.927,0.816,0.797,0.731,0.715,0.62,0.809,0.826,0.785,0.803,0.725,0.707,0.645,0.795,0.789,0.848,0.797,0.76,0.771,0.761,0.828,0.859,0.833,0.797,0.746,0.746,0.707,0.819,0.844
6,0.92,0.859,0.907,0.901,0.927,0.893,0.79,0.878,0.83,0.88,0.881,0.877,0.873,0.807,0.854,0.818,0.864,0.869,0.85,0.862,0.82,0.89,0.843,0.888,0.887,0.89,0.88,0.801,0.884,0.837,0.884,0.884,0.884,0.877,0.804
7,0.778,0.575,0.488,0.598,0.609,0.572,0.626,0.181,0.424,0.538,0.447,0.473,0.575,0.5,0.523,0.536,0.491,0.546,0.556,0.58,0.568,0.68,0.627,0.429,0.637,0.64,0.578,0.648,0.54,0.547,0.489,0.562,0.572,0.576,0.587
