classifier,precision_0,f1_0,precision_1,f1_1,accuracy
AdaBoost,0.814,0.789,0.782,0.804,0.797
DecisionTree,0.753,0.609,0.634,0.72,0.674
KNN,0.786,0.769,0.766,0.782,0.775
LDA,0.817,0.783,0.773,0.803,0.793
RandomForest,0.817,0.783,0.773,0.803,0.793
QDA,0.839,0.652,0.661,0.762,0.717
SVM,0.826,0.775,0.761,0.803,0.79
