classifier,precision_0,f1_0,precision_1,f1_1,accuracy
AdaBoost,0.92,0.878,0.854,0.89,0.884
DecisionTree,0.859,0.83,0.818,0.843,0.837
KNN,0.907,0.88,0.864,0.888,0.884
LDA,0.901,0.881,0.869,0.887,0.884
RandomForest,0.893,0.873,0.862,0.88,0.877
QDA,0.927,0.877,0.85,0.89,0.884
SVM,0.79,0.807,0.82,0.801,0.804
