classifier,precision_0,f1_0,precision_1,f1_1,accuracy
AdaBoost,0.804,0.686,0.684,0.76,0.728
DecisionTree,0.785,0.689,0.686,0.753,0.725
KNN,0.739,0.688,0.688,0.73,0.71
LDA,0.819,0.618,0.642,0.747,0.696
RandomForest,0.819,0.711,0.702,0.774,0.746
QDA,0.881,0.67,0.672,0.779,0.736
SVM,0.847,0.706,0.697,0.782,0.75
