classifier,precision_0,f1_0,precision_1,f1_1,accuracy
AdaBoost,0.778,0.181,0.523,0.68,0.54
DecisionTree,0.575,0.424,0.536,0.627,0.547
KNN,0.488,0.538,0.491,0.429,0.489
LDA,0.598,0.447,0.546,0.637,0.562
RandomForest,0.572,0.575,0.58,0.578,0.576
QDA,0.609,0.473,0.556,0.64,0.572
SVM,0.626,0.5,0.568,0.648,0.587
