classifier,precision_0,f1_0,precision_1,f1_1,accuracy
AdaBoost,0.942,0.945,0.949,0.946,0.946
DecisionTree,0.933,0.926,0.922,0.929,0.928
KNN,0.969,0.948,0.931,0.951,0.949
LDA,1.0,0.731,0.706,0.827,0.79
RandomForest,0.931,0.906,0.89,0.912,0.909
QDA,0.99,0.855,0.802,0.887,0.873
SVM,0.947,0.925,0.91,0.93,0.928
