
classifier,mean_accuracy,std_accuracy
AdaBoost,0.8272413793103448,0.06950184178395659
DecisionTree,0.7798850574712644,0.061393192282697975
KNN,0.8444827586206897,0.05476634571102317
LDA,0.851264367816092,0.07394691600450168
RandomForest,0.8679310344827587,0.05610902792714659
QDA,0.7732183908045978,0.06723705654638325
SVM,0.864367816091954,0.06866409224439556
