
classifier,mean_accuracy,std_accuracy
AdaBoost,0.9289655172413793,0.061120466740834996
DecisionTree,0.8888505747126436,0.06659736786683734
KNN,0.9324137931034484,0.04542717200241365
LDA,0.8580459770114943,0.05228621800192577
RandomForest,0.9254022988505748,0.03728622955622831
QDA,0.6154022988505747,0.13974969602816906
SVM,0.9355172413793105,0.028948407645192378
