subject,mean_accuracy_AdaBoost,mean_accuracy_DecisionTree,mean_accuracy_KNN,mean_accuracy_LDA,mean_accuracy_QDA,mean_accuracy_RandomForest,mean_accuracy_SVM,std_accuracy_AdaBoost,std_accuracy_DecisionTree,std_accuracy_KNN,std_accuracy_LDA,std_accuracy_QDA,std_accuracy_RandomForest,std_accuracy_SVM
1,0.7873563218390804,0.7528735632183908,0.7834482758620689,0.8073563218390805,0.6252873563218391,0.7803448275862069,0.8108045977011494,0.0557133444271527,0.0821609967259991,0.0445206111779604,0.0524374820434254,0.0857982652350679,0.0377580520960005,0.0502055492219538
2,0.8010344827586208,0.7163218390804598,0.8213793103448275,0.824712643678161,0.7706896551724138,0.8345977011494252,0.8179310344827586,0.0907688711909305,0.0752497054227075,0.0607853651438335,0.0566382153284559,0.0651679537892925,0.0487319723197465,0.0647141748660237
3,0.9054022988505748,0.8541379310344828,0.928735632183908,0.7395402298850575,0.8305747126436781,0.9289655172413792,0.928735632183908,0.0600722909725214,0.0778907602846425,0.0521210822377525,0.0741039751161987,0.0912779746074287,0.038903588939779,0.039083840286515
4,0.9289655172413792,0.8888505747126436,0.9324137931034484,0.8580459770114943,0.6154022988505747,0.9254022988505748,0.9355172413793104,0.0611204667408349,0.0665973678668373,0.0454271720024136,0.0522862180019257,0.139749696028169,0.0372862295562283,0.0289484076451923
5,0.8272413793103448,0.7798850574712644,0.8444827586206897,0.851264367816092,0.7732183908045978,0.8679310344827587,0.864367816091954,0.0695018417839565,0.0613931922826979,0.0547663457110231,0.0739469160045016,0.0672370565463832,0.0561090279271465,0.0686640922443955
6,0.8914942528735633,0.8579310344827586,0.8882758620689655,0.8613793103448275,0.8372413793103449,0.8948275862068966,0.8849425287356322,0.0403715076991365,0.0545709553364825,0.0524918756964981,0.0461639876252917,0.0830489797810549,0.0604804169107661,0.0482989818749001
7,0.5917241379310345,0.5612643678160918,0.6048275862068966,0.5006896551724138,0.483103448275862,0.5983908045977011,0.5039080459770114,0.0713677411173226,0.0891424330217748,0.0697764582698404,0.0812753410790273,0.0781052032653215,0.1189188091993768,0.1007295360059112
