subject;classifier;model;preprocessing;accuracy
6;RandomForest;RandomForestClassifier(n_estimators=49, n_jobs=1, random_state=2, verbose=False);(PCA(n_components=2, whiten=True),);0.952
6;QDA;QuadraticDiscriminantAnalysis(reg_param=0.008568642524109604,                           tol=0.0018028518646209214);(PCA(n_components=2, whiten=True),);0.952
6;SVM;SVC(C=1.0019154889677115, coef0=0.3418436748555267, degree=4, kernel='poly', random_state=4, shrinking=False, tol=0.0009336804142165657);(PCA(n_components=2),);0.964
7;AdaBoost;AdaBoostClassifier(learning_rate=1.6424242949801509, n_estimators=61,                random_state=1);(PCA(n_components=2),);0.566
7;DecisionTree;DecisionTreeClassifier(random_state=3, splitter='random');(Normalizer(norm='l1'),);0.602
7;KNN;KNeighborsClassifier(algorithm='kd_tree', leaf_size=28, metric='l2', n_jobs=1,                  n_neighbors=10, p=3.0579588827134847);(PCA(n_components=2, whiten=True),);0.723
7;LDA;LinearDiscriminantAnalysis(solver='eigen', tol=0.00048722354528307423);(Normalizer(norm='l1'),);0.59
7;RandomForest;RandomForestClassifier(class_weight='balanced', max_depth=2, max_features=None,                    max_leaf_nodes=15, min_impurity_decrease=0.01,                    min_samples_split=3, n_estimators=10, n_jobs=1,                    random_state=2, verbose=False);(PCA(n_components=2, whiten=True),);0.59
7;QDA;QuadraticDiscriminantAnalysis(reg_param=0.013026268378955153,                           tol=0.0004044365815148269);(StandardScaler(with_mean=False),);0.639
7;SVM;SVC(C=1.7785573814919786, coef0=0.8483974114354836, decision_function_shape='ovo', degree=2, random_state=2, tol=0.00014500526079200436);(PCA(n_components=2, whiten=True),);0.663
