subject;classifier;model;preprocessing;accuracy
6;RandomForest;RandomForestClassifier(max_depth=3, max_features=None, n_estimators=20,                    n_jobs=1, random_state=4, verbose=False);(StandardScaler(with_mean=False),);0.867
6;QDA;QuadraticDiscriminantAnalysis(reg_param=1.1104604152713596e-06,                           tol=2.741775329329472e-05);(Normalizer(norm='l1'),);0.847
6;SVM;SVC(C=1.3659345526796205, coef0=0.8519620807441481, decision_function_shape='ovo', degree=5, kernel='poly', random_state=0, tol=0.00038215263093195563);(StandardScaler(with_mean=False),);0.888
7;AdaBoost;AdaBoostClassifier(learning_rate=0.003259244400304279, n_estimators=149,                random_state=0);(StandardScaler(),);0.531
7;DecisionTree;DecisionTreeClassifier(criterion='entropy', max_depth=4,                    max_features=0.25346580665220475, random_state=1);(Normalizer(),);0.531
7;KNN;KNeighborsClassifier(leaf_size=39, metric='cityblock', n_jobs=1, n_neighbors=8,                  p=2.2327611819167177);(Normalizer(norm='max'),);0.531
7;LDA;LinearDiscriminantAnalysis(solver='eigen', tol=6.283136774536324e-05);(Normalizer(),);0.469
7;RandomForest;RandomForestClassifier(class_weight='balanced',                    max_features=0.06467885102107301, min_samples_leaf=4,                    min_samples_split=3, n_estimators=2684, n_jobs=1,                    random_state=1, verbose=False);(Normalizer(norm='l1'),);0.531
7;QDA;QuadraticDiscriminantAnalysis(reg_param=0.426052274999558,                           tol=0.002473614225588215);(StandardScaler(with_mean=False, with_std=False),);0.48
7;SVM;SVC(C=0.892558693575261, coef0=0.585921488854608, degree=5, random_state=0, tol=0.00010795588587673901);(StandardScaler(with_mean=False, with_std=False),);0.582
